-1	-1	0.119203
-0.9	-1	0.130108
-0.8	-1	0.141851
-0.7	-1	0.154465
-0.6	-1	0.167982
-0.5	-1	0.182426
-0.4	-1	0.197816
-0.3	-1	0.214165
-0.2	-1	0.231475
-0.1	-1	0.24974
0	-1	0.268941
0.1	-1	0.28905
0.2	-1	0.310026
0.3	-1	0.331812
0.4	-1	0.354344
0.5	-1	0.377541
0.6	-1	0.401312
0.7	-1	0.425557
0.8	-1	0.450166
0.9	-1	0.475021
1	-1	0.5
-1	-0.9	0.130108
-0.9	-0.9	0.141851
-0.8	-0.9	0.154465
-0.7	-0.9	0.167982
-0.6	-0.9	0.182426
-0.5	-0.9	0.197816
-0.4	-0.9	0.214165
-0.3	-0.9	0.231475
-0.2	-0.9	0.24974
-0.1	-0.9	0.268941
0	-0.9	0.28905
0.1	-0.9	0.310026
0.2	-0.9	0.331812
0.3	-0.9	0.354344
0.4	-0.9	0.377541
0.5	-0.9	0.401312
0.6	-0.9	0.425557
0.7	-0.9	0.450166
0.8	-0.9	0.475021
0.9	-0.9	0.5
1	-0.9	0.524979
-1	-0.8	0.141851
-0.9	-0.8	0.154465
-0.8	-0.8	0.167982
-0.7	-0.8	0.182426
-0.6	-0.8	0.197816
-0.5	-0.8	0.214165
-0.4	-0.8	0.231475
-0.3	-0.8	0.24974
-0.2	-0.8	0.268941
-0.1	-0.8	0.28905
0	-0.8	0.310026
0.1	-0.8	0.331812
0.2	-0.8	0.354344
0.3	-0.8	0.377541
0.4	-0.8	0.401312
0.5	-0.8	0.425557
0.6	-0.8	0.450166
0.7	-0.8	0.475021
0.8	-0.8	0.5
0.9	-0.8	0.524979
1	-0.8	0.549834
-1	-0.7	0.154465
-0.9	-0.7	0.167982
-0.8	-0.7	0.182426
-0.7	-0.7	0.197816
-0.6	-0.7	0.214165
-0.5	-0.7	0.231475
-0.4	-0.7	0.24974
-0.3	-0.7	0.268941
-0.2	-0.7	0.28905
-0.1	-0.7	0.310026
0	-0.7	0.331812
0.1	-0.7	0.354344
0.2	-0.7	0.377541
0.3	-0.7	0.401312
0.4	-0.7	0.425557
0.5	-0.7	0.450166
0.6	-0.7	0.475021
0.7	-0.7	0.5
0.8	-0.7	0.524979
0.9	-0.7	0.549834
1	-0.7	0.574443
-1	-0.6	0.167982
-0.9	-0.6	0.182426
-0.8	-0.6	0.197816
-0.7	-0.6	0.214165
-0.6	-0.6	0.231475
-0.5	-0.6	0.24974
-0.4	-0.6	0.268941
-0.3	-0.6	0.28905
-0.2	-0.6	0.310026
-0.1	-0.6	0.331812
0	-0.6	0.354344
0.1	-0.6	0.377541
0.2	-0.6	0.401312
0.3	-0.6	0.425557
0.4	-0.6	0.450166
0.5	-0.6	0.475021
0.6	-0.6	0.5
0.7	-0.6	0.524979
0.8	-0.6	0.549834
0.9	-0.6	0.574443
1	-0.6	0.598688
-1	-0.5	0.182426
-0.9	-0.5	0.197816
-0.8	-0.5	0.214165
-0.7	-0.5	0.231475
-0.6	-0.5	0.24974
-0.5	-0.5	0.268941
-0.4	-0.5	0.28905
-0.3	-0.5	0.310026
-0.2	-0.5	0.331812
-0.1	-0.5	0.354344
0	-0.5	0.377541
0.1	-0.5	0.401312
0.2	-0.5	0.425557
0.3	-0.5	0.450166
0.4	-0.5	0.475021
0.5	-0.5	0.5
0.6	-0.5	0.524979
0.7	-0.5	0.549834
0.8	-0.5	0.574443
0.9	-0.5	0.598688
1	-0.5	0.622459
-1	-0.4	0.197816
-0.9	-0.4	0.214165
-0.8	-0.4	0.231475
-0.7	-0.4	0.24974
-0.6	-0.4	0.268941
-0.5	-0.4	0.28905
-0.4	-0.4	0.310026
-0.3	-0.4	0.331812
-0.2	-0.4	0.354344
-0.1	-0.4	0.377541
0	-0.4	0.401312
0.1	-0.4	0.425557
0.2	-0.4	0.450166
0.3	-0.4	0.475021
0.4	-0.4	0.5
0.5	-0.4	0.524979
0.6	-0.4	0.549834
0.7	-0.4	0.574443
0.8	-0.4	0.598688
0.9	-0.4	0.622459
1	-0.4	0.645656
-1	-0.3	0.214165
-0.9	-0.3	0.231475
-0.8	-0.3	0.24974
-0.7	-0.3	0.268941
-0.6	-0.3	0.28905
-0.5	-0.3	0.310026
-0.4	-0.3	0.331812
-0.3	-0.3	0.354344
-0.2	-0.3	0.377541
-0.1	-0.3	0.401312
0	-0.3	0.425557
0.1	-0.3	0.450166
0.2	-0.3	0.475021
0.3	-0.3	0.5
0.4	-0.3	0.524979
0.5	-0.3	0.549834
0.6	-0.3	0.574443
0.7	-0.3	0.598688
0.8	-0.3	0.622459
0.9	-0.3	0.645656
1	-0.3	0.668188
-1	-0.2	0.231475
-0.9	-0.2	0.24974
-0.8	-0.2	0.268941
-0.7	-0.2	0.28905
-0.6	-0.2	0.310026
-0.5	-0.2	0.331812
-0.4	-0.2	0.354344
-0.3	-0.2	0.377541
-0.2	-0.2	0.401312
-0.1	-0.2	0.425557
0	-0.2	0.450166
0.1	-0.2	0.475021
0.2	-0.2	0.5
0.3	-0.2	0.524979
0.4	-0.2	0.549834
0.5	-0.2	0.574443
0.6	-0.2	0.598688
0.7	-0.2	0.622459
0.8	-0.2	0.645656
0.9	-0.2	0.668188
1	-0.2	0.689974
-1	-0.1	0.24974
-0.9	-0.1	0.268941
-0.8	-0.1	0.28905
-0.7	-0.1	0.310026
-0.6	-0.1	0.331812
-0.5	-0.1	0.354344
-0.4	-0.1	0.377541
-0.3	-0.1	0.401312
-0.2	-0.1	0.425557
-0.1	-0.1	0.450166
0	-0.1	0.475021
0.1	-0.1	0.5
0.2	-0.1	0.524979
0.3	-0.1	0.549834
0.4	-0.1	0.574443
0.5	-0.1	0.598688
0.6	-0.1	0.622459
0.7	-0.1	0.645656
0.8	-0.1	0.668188
0.9	-0.1	0.689974
1	-0.1	0.710949
-1	0	0.268941
-0.9	0	0.28905
-0.8	0	0.310026
-0.7	0	0.331812
-0.6	0	0.354344
-0.5	0	0.377541
-0.4	0	0.401312
-0.3	0	0.425557
-0.2	0	0.450166
-0.1	0	0.475021
0	0	0.5
0.1	0	0.524979
0.2	0	0.549834
0.3	0	0.574443
0.4	0	0.598688
0.5	0	0.622459
0.6	0	0.645656
0.7	0	0.668188
0.8	0	0.689974
0.9	0	0.710949
1	0	0.731059
-1	0.1	0.28905
-0.9	0.1	0.310026
-0.8	0.1	0.331812
-0.7	0.1	0.354344
-0.6	0.1	0.377541
-0.5	0.1	0.401312
-0.4	0.1	0.425557
-0.3	0.1	0.450166
-0.2	0.1	0.475021
-0.1	0.1	0.5
0	0.1	0.524979
0.1	0.1	0.549834
0.2	0.1	0.574443
0.3	0.1	0.598688
0.4	0.1	0.622459
0.5	0.1	0.645656
0.6	0.1	0.668188
0.7	0.1	0.689974
0.8	0.1	0.710949
0.9	0.1	0.731059
1	0.1	0.75026
-1	0.2	0.310026
-0.9	0.2	0.331812
-0.8	0.2	0.354344
-0.7	0.2	0.377541
-0.6	0.2	0.401312
-0.5	0.2	0.425557
-0.4	0.2	0.450166
-0.3	0.2	0.475021
-0.2	0.2	0.5
-0.1	0.2	0.524979
0	0.2	0.549834
0.1	0.2	0.574443
0.2	0.2	0.598688
0.3	0.2	0.622459
0.4	0.2	0.645656
0.5	0.2	0.668188
0.6	0.2	0.689974
0.7	0.2	0.710949
0.8	0.2	0.731059
0.9	0.2	0.75026
1	0.2	0.768525
-1	0.3	0.331812
-0.9	0.3	0.354344
-0.8	0.3	0.377541
-0.7	0.3	0.401312
-0.6	0.3	0.425557
-0.5	0.3	0.450166
-0.4	0.3	0.475021
-0.3	0.3	0.5
-0.2	0.3	0.524979
-0.1	0.3	0.549834
0	0.3	0.574443
0.1	0.3	0.598688
0.2	0.3	0.622459
0.3	0.3	0.645656
0.4	0.3	0.668188
0.5	0.3	0.689974
0.6	0.3	0.710949
0.7	0.3	0.731059
0.8	0.3	0.75026
0.9	0.3	0.768525
1	0.3	0.785835
-1	0.4	0.354344
-0.9	0.4	0.377541
-0.8	0.4	0.401312
-0.7	0.4	0.425557
-0.6	0.4	0.450166
-0.5	0.4	0.475021
-0.4	0.4	0.5
-0.3	0.4	0.524979
-0.2	0.4	0.549834
-0.1	0.4	0.574443
0	0.4	0.598688
0.1	0.4	0.622459
0.2	0.4	0.645656
0.3	0.4	0.668188
0.4	0.4	0.689974
0.5	0.4	0.710949
0.6	0.4	0.731059
0.7	0.4	0.75026
0.8	0.4	0.768525
0.9	0.4	0.785835
1	0.4	0.802184
-1	0.5	0.377541
-0.9	0.5	0.401312
-0.8	0.5	0.425557
-0.7	0.5	0.450166
-0.6	0.5	0.475021
-0.5	0.5	0.5
-0.4	0.5	0.524979
-0.3	0.5	0.549834
-0.2	0.5	0.574443
-0.1	0.5	0.598688
0	0.5	0.622459
0.1	0.5	0.645656
0.2	0.5	0.668188
0.3	0.5	0.689974
0.4	0.5	0.710949
0.5	0.5	0.731059
0.6	0.5	0.75026
0.7	0.5	0.768525
0.8	0.5	0.785835
0.9	0.5	0.802184
1	0.5	0.817574
-1	0.6	0.401312
-0.9	0.6	0.425557
-0.8	0.6	0.450166
-0.7	0.6	0.475021
-0.6	0.6	0.5
-0.5	0.6	0.524979
-0.4	0.6	0.549834
-0.3	0.6	0.574443
-0.2	0.6	0.598688
-0.1	0.6	0.622459
0	0.6	0.645656
0.1	0.6	0.668188
0.2	0.6	0.689974
0.3	0.6	0.710949
0.4	0.6	0.731059
0.5	0.6	0.75026
0.6	0.6	0.768525
0.7	0.6	0.785835
0.8	0.6	0.802184
0.9	0.6	0.817574
1	0.6	0.832018
-1	0.7	0.425557
-0.9	0.7	0.450166
-0.8	0.7	0.475021
-0.7	0.7	0.5
-0.6	0.7	0.524979
-0.5	0.7	0.549834
-0.4	0.7	0.574443
-0.3	0.7	0.598688
-0.2	0.7	0.622459
-0.1	0.7	0.645656
0	0.7	0.668188
0.1	0.7	0.689974
0.2	0.7	0.710949
0.3	0.7	0.731059
0.4	0.7	0.75026
0.5	0.7	0.768525
0.6	0.7	0.785835
0.7	0.7	0.802184
0.8	0.7	0.817574
0.9	0.7	0.832018
1	0.7	0.845535
-1	0.8	0.450166
-0.9	0.8	0.475021
