-1	-1	-0.964028
-0.9	-1	-0.956237
-0.8	-1	-0.946806
-0.7	-1	-0.935409
-0.6	-1	-0.921669
-0.5	-1	-0.905148
-0.4	-1	-0.885352
-0.3	-1	-0.861723
-0.2	-1	-0.833655
-0.1	-1	-0.800499
0	-1	-0.761594
0.1	-1	-0.716298
0.2	-1	-0.664037
0.3	-1	-0.604368
0.4	-1	-0.53705
0.5	-1	-0.462117
0.6	-1	-0.379949
0.7	-1	-0.291313
0.8	-1	-0.197375
0.9	-1	-0.099668
1	-1	0
-1	-0.9	-0.956237
-0.9	-0.9	-0.946806
-0.8	-0.9	-0.935409
-0.7	-0.9	-0.921669
-0.6	-0.9	-0.905148
-0.5	-0.9	-0.885352
-0.4	-0.9	-0.861723
-0.3	-0.9	-0.833655
-0.2	-0.9	-0.800499
-0.1	-0.9	-0.761594
0	-0.9	-0.716298
0.1	-0.9	-0.664037
0.2	-0.9	-0.604368
0.3	-0.9	-0.53705
0.4	-0.9	-0.462117
0.5	-0.9	-0.379949
0.6	-0.9	-0.291313
0.7	-0.9	-0.197375
0.8	-0.9	-0.099668
0.9	-0.9	0
1	-0.9	0.099668
-1	-0.8	-0.946806
-0.9	-0.8	-0.935409
-0.8	-0.8	-0.921669
-0.7	-0.8	-0.905148
-0.6	-0.8	-0.885352
-0.5	-0.8	-0.861723
-0.4	-0.8	-0.833655
-0.3	-0.8	-0.800499
-0.2	-0.8	-0.761594
-0.1	-0.8	-0.716298
0	-0.8	-0.664037
0.1	-0.8	-0.604368
0.2	-0.8	-0.53705
0.3	-0.8	-0.462117
0.4	-0.8	-0.379949
0.5	-0.8	-0.291313
0.6	-0.8	-0.197375
0.7	-0.8	-0.099668
0.8	-0.8	0
0.9	-0.8	0.099668
1	-0.8	0.197375
-1	-0.7	-0.935409
-0.9	-0.7	-0.921669
-0.8	-0.7	-0.905148
-0.7	-0.7	-0.885352
-0.6	-0.7	-0.861723
-0.5	-0.7	-0.833655
-0.4	-0.7	-0.800499
-0.3	-0.7	-0.761594
-0.2	-0.7	-0.716298
-0.1	-0.7	-0.664037
0	-0.7	-0.604368
0.1	-0.7	-0.53705
0.2	-0.7	-0.462117
0.3	-0.7	-0.379949
0.4	-0.7	-0.291313
0.5	-0.7	-0.197375
0.6	-0.7	-0.099668
0.7	-0.7	0
0.8	-0.7	0.099668
0.9	-0.7	0.197375
1	-0.7	0.291313
-1	-0.6	-0.921669
-0.9	-0.6	-0.905148
-0.8	-0.6	-0.885352
-0.7	-0.6	-0.861723
-0.6	-0.6	-0.833655
-0.5	-0.6	-0.800499
-0.4	-0.6	-0.761594
-0.3	-0.6	-0.716298
-0.2	-0.6	-0.664037
-0.1	-0.6	-0.604368
0	-0.6	-0.53705
0.1	-0.6	-0.462117
0.2	-0.6	-0.379949
0.3	-0.6	-0.291313
0.4	-0.6	-0.197375
0.5	-0.6	-0.099668
0.6	-0.6	0
0.7	-0.6	0.099668
0.8	-0.6	0.197375
0.9	-0.6	0.291313
1	-0.6	0.379949
-1	-0.5	-0.905148
-0.9	-0.5	-0.885352
-0.8	-0.5	-0.861723
-0.7	-0.5	-0.833655
-0.6	-0.5	-0.800499
-0.5	-0.5	-0.761594
-0.4	-0.5	-0.716298
-0.3	-0.5	-0.664037
-0.2	-0.5	-0.604368
-0.1	-0.5	-0.53705
0	-0.5	-0.462117
0.1	-0.5	-0.379949
0.2	-0.5	-0.291313
0.3	-0.5	-0.197375
0.4	-0.5	-0.099668
0.5	-0.5	0
0.6	-0.5	0.099668
0.7	-0.5	0.197375
0.8	-0.5	0.291313
0.9	-0.5	0.379949
1	-0.5	0.462117
-1	-0.4	-0.885352
-0.9	-0.4	-0.861723
-0.8	-0.4	-0.833655
-0.7	-0.4	-0.800499
-0.6	-0.4	-0.761594
-0.5	-0.4	-0.716298
-0.4	-0.4	-0.664037
-0.3	-0.4	-0.604368
-0.2	-0.4	-0.53705
-0.1	-0.4	-0.462117
0	-0.4	-0.379949
0.1	-0.4	-0.291313
0.2	-0.4	-0.197375
0.3	-0.4	-0.099668
0.4	-0.4	0
0.5	-0.4	0.099668
0.6	-0.4	0.197375
0.7	-0.4	0.291313
0.8	-0.4	0.379949
